fifa_soccer_97 SLUS-00269
fifa_world_cup_2002 SLUS-01449
the_fifth_element SLUS-00711
fighter_maker SLUS-00641
fighting_force SLUS-00433
fighting_force_2 SLUS-00934
final_doom SLUS-00331
final_fantasy_anthology SLUS-00879
final_fantasy_chronicles SLUS-01363
final_fantasy_ix SLUS-01251
final_fantasy_origins SLUS-01541
final_fantasy_tactics SCUS-94221
final_fantasy_vii SCUS-94163
final_fantasy_viii SLUS-00892
the_final_round 	SLUS-00064
fishermans_bait SLUS-00802
fishermans_bait_big_ol_bass_2 SLUS-01259
fishermans_bait_2_big_ol_bass SLUS-00999
flintstones_bedrock_bowling SLUS-00931
floating_runner_quest_for_the_7_crystals SLUS-00231
ford_racing SLUS-01301
ford_truck_mania SLUS-01540
formula_1 SCUS-94353
formula_1_98 SLUS-00744
formula_1_championship_edition SLUS-00546
formula_1_championship_season_2000 SLUS-01290
formula_one_99 SLUS-00870
forsaken SLUS-00458
fox_hunt SLUS-00101
fox_sports_golf_99 SLUS-00636
fox_sports_nhl_championship_2000 SLUS-00925
fox_sports_soccer_99 SLUS-00635
frank_thomas_big_hurt_baseball SLUS-00010
freestyle_boardin_99 SLUS-00767
freestyle_motocross_mcgrath_vs_pastrana SLUS-00122
frogger SLUS-00506
frogger_2_swampys_revenge SLUS-01172
front_mission_3 SLUS-01011
future_cop_lapd SLUS-00739
galaga_destination_earth SLUS-01258
galerians SLUS-00986
gallop_racer SLUS-00942
gauntlet_legends SLUS-00624
g_darius SLUS-00690
gekido_urban_fighters SLUS-00970
gekioh_shooting_king SLUS-01498
geom_cube SLUS-00024
gex SLUS-00042
gex_2_enter_the_gecco SLUS-00598
gex_3_deep_cover_gecko SLUS-00806
ghost_in_the_shell SLUS-00552
glover SLUS-00890
goal_storm SLUS-00055
goal_storm_97 SLUS-00295
golden_nugget SLUS-00319
golden_tee_golf_peter_jacobsons SLUS-01130
g_police SLUS-00544
g_police_2_weapons_of_justice SLUS-00798
gran_turismo SCUS-94194
gran_turismo_2 SCUS-94455
grand_slam_97 SLUS-00127
grand_theft_auto SLUS-00106
grand_theft_auto_mission_pack_#1_london_1969 SLUS-00846
grand_theft_auto_2 SLUS-00789
grand_tour_racing_98 SLUS-00494
grandia SCUS-94457
the_granstream_saga SLUS-00597
grid_runner SLUS-00323
the_grinch SLUS-01197
grind_session SCUS-94568
grudge_warriors SLUS-01150
guardians_crusade SLUS-00811
gubble SLUS-01466
guilty_gear SLUS-00772
gundam_battle_assault SLUS-01226
gundam_battle_assault_2 SLUS-01418
